ID,UTTERANCE,CORE RELATIONS
56,i need to know in detail about the cast and crew of the movie apollo thirteen,movie.starring.actor
57,i want to find information about the cast of apollo thirteen,movie.starring.actor
58,show me more information about the cast and crew of the movie apollo thirteen,movie.starring.actor
59,what actors were in dirty dancing,movie.starring.actor
60,show me the actors in captain america,movie.starring.actor
61,show me gilda's credits,movie.starring.actor
62,i can't remember the lead guy in the avengers,movie.starring.actor
63,show cast list for the avergers,movie.starring.actor
64,who plays nemo in finding nemo,movie.starring.actor movie.starring.character
65,find cast and crew for the movie finding nemo,movie.starring.actor
66,show me the cast and crew for finding nemo,movie.starring.actor
67,show me the cast of finding nemo,movie.starring.actor
68,who are the main voices in finding nemo,movie.starring.actor
69,who starred in finding nemo,movie.starring.actor
70,who stars in finding nemo,movie.starring.actor
71,who was the main character in men in black 3,movie.starring.actor
72,can i see the credits for dirty dancing,movie.starring.actor
73,cast of dirty dancing,movie.starring.actor
74,find cast and crew for dirty dancing,movie.starring.actor
75,search cast and crew for dirty dancing,movie.starring.actor
76,search for the cast and crew for the movie dirty dancing,movie.starring.actor
77,show me the cast and list for dirty dancing,movie.starring.actor
78,who starred in dirty dancing,movie.starring.actor
79,who starred in dirty dancing,movie.starring.actor
80,who were the stars of dirty dancing,movie.starring.actor
81,who was the male star of titanic,movie.starring.actor actor.gender
82,who starred in taxi,movie.starring.actor
83,who played in the oranges,movie.starring.actor
84,actors for life is beautiful,movie.starring.actor
85,who are the lead actors in life is beautiful,movie.starring.actor
86,find the male actor from the movie born free,movie.starring.actor actor.gender
87,actor from iron man,movie.starring.actor
88,shows actors in shoot to kill,movie.starring.actor
89,which actors starred in hitch,movie.starring.actor
90,who are all of the actors in hitch,movie.starring.actor
91,who was the lead actor in hitch,movie.starring.actor
92,who starred in dark knight rising,movie.starring.actor
93,who played nick fury in the avengers,movie.starring.actor movie.starring.character
94,who was the lead actor in the avengers,movie.starring.actor
95,what was the cast of black swan,movie.starring.actor
96,who acted in black swan,movie.starring.actor
97,who was in black swan,movie.starring.actor
98,who was the lead in black swan,movie.starring.actor
99,actors in star wars four,movie.starring.actor
100,what was the actor who played esme in twilight,movie.starring.actor movie.starring.character
101,who played esme in twilight,movie.starring.actor movie.starring.character
102,who starred in the parent trap,movie.starring.actor
103,cast and crew for hitch,movie.starring.actor
104,cast and crew of hitch,movie.starring.actor
105,cast hitch,movie.starring.actor
106,hitch crew,movie.starring.actor
107,list cast hitch,movie.starring.actor
108,show me hitch's cast,movie.starring.actor
109,show the cast of hitch,movie.starring.actor
110,what actors appeared in the movie hitch,movie.starring.actor
111,what actors played in the movies hitch,movie.starring.actor
112,what was the cast of hitch,movie.starring.actor
113,who starred in hitch,movie.starring.actor
114,who starred in the movie hitch,movie.starring.actor
115,who stars in hitch,movie.starring.actor
116,who was in hitch,movie.starring.actor
117,who was in the movie hitch,movie.starring.actor
118,who was the star in hitch,movie.starring.actor
119,voice actor for homer simpson,movie.starring.actor movie.starring.character
120,who is in the movie two can play that game,movie.starring.actor
121,actress from gone with the wind,movie.starring.actor
122,who are the lead actors in this movie,movie.starring.actor
123,show me information on the cast and crew of pitchperfect,movie.starring.actor
124,actors in house at the end of the street,movie.starring.actor
125,can i see the cast and crew for house at the end of the street,movie.starring.actor
126,cast and crew for house at the end of the street,movie.starring.actor
127,cast and crew for the movie house at the end of the street,movie.starring.actor
128,who stars on the house at the end of the street,movie.starring.actor
129,who is in movie,movie.starring.actor
130,who is in movie,movie.starring.actor
131,who is in movie,movie.starring.actor
132,who acts in forager,movie.starring.actor
133,who stars in forager,movie.starring.actor
134,who is the cast and crew for now forager,movie.starring.actor
135,who was in now,movie.starring.actor
136,actor from modern family,movie.starring.actor
137,list the actors in forager,movie.starring.actor
138,cast and crew of go,movie.starring.actor
139,who starred in go,movie.starring.actor
140,who was the lead actress in the hunger games,movie.starring.actor
141,show cast of movie request,movie.starring.actor
142,what is the cast in resident evil retribution,movie.starring.actor
143,list me the actors for top gun,movie.starring.actor
144,who was the tin man in wizard of oz,movie.starring.actor movie.starring.character
145,actress in hum tum,movie.starring.actor
146,who was the actor in movie hum tum,movie.starring.actor
147,who is in barfi,movie.starring.actor
148,who was the lead woman in the savages,movie.starring.actor actor.gender
149,find the name of the actor who played jack in the movie titanic,movie.starring.actor movie.starring.character
150,the name of the male lead in the movie titanic,movie.starring.actor
151,what is the name of the lead actor in the titanic,movie.starring.actor
152,show me who played what role in go,movie.starring.actor movie.starring.character
153,i cannot remember the name of the actor in pretty women,movie.starring.actor
154,what is the name of the actor who was in the parent trap,movie.starring.actor
155,find name of main actor in the movie the help,movie.starring.actor
156,looking for names of crew members of apollo thirteen,movie.starring.actor
157,i can't figure out the name of the lead guy in the avengers,movie.starring.actor
158,what were the names of the ladies in facts of life,movie.starring.actor actor.gender
159,how old is steven spielberg,person.date_of_birth
160,when steven spielberg born,person.date_of_birth
161,what is tom cruise's birthday,person.date_of_birth
162,when was tom cruise born,person.date_of_birth
163,when is will ferrell's birthday,person.date_of_birth
164,how old is kristen stewart,person.date_of_birth
165,how much did it cost to produce the dark night,movie.estimated_budget
166,how much did the dark night cost to produce,movie.estimated_budget
167,what was the dark night budget,movie.estimated_budget
168,the godfather's budget,movie.estimated_budget
169,budget for the blind side,movie.estimated_budget
170,i want to look up the budget of freedom writers,movie.estimated_budget
171,i would like to look up the budget of freedom writers,movie.estimated_budget
172,look for the budget of freedom writers,movie.estimated_budget
173,how much was hunger games made for,movie.estimated_budget
174,how much was the budget for the hunger games,movie.estimated_budget
175,how much did black swan cost,movie.estimated_budget
176,how much did hollywood pay for black swan,movie.estimated_budget
177,what was the budget for black swan,movie.estimated_budget
178,what were production costs for black swan,movie.estimated_budget
179,what was the budget for wrong turn,movie.estimated_budget
180,search for the budget of step up,movie.estimated_budget
181,budget for titanic,movie.estimated_budget
182,budget for titanic,movie.estimated_budget
183,budget for titanic movie,movie.estimated_budget
184,how much did titanic cost to make,movie.estimated_budget
185,how much was the total budget for the titanic,movie.estimated_budget
186,what was titanic's budget,movie.estimated_budget
187,what was the budget for courageous,movie.estimated_budget
188,what was the budget for facing the giants,movie.estimated_budget
189,budget of heroine,movie.estimated_budget
190,finding the buget of heroine,movie.estimated_budget
191,looking of movie heroine's budget,movie.estimated_budget
192,what is the buget of movie heroine,movie.estimated_budget
193,how much did it cost to make jurassic park,movie.estimated_budget
194,what was the budget for jurassic park,movie.estimated_budget
195,how much did james cameron have to spend to make avatar,movie.estimated_budget movie.directed_by
196,avatar must have cost a bundle,movie.estimated_budget
197,did the avatar movie have a budget for spending,movie.estimated_budget
198,get me info on the budget for avatar,movie.estimated_budget
199,how much did it cost to make avatar,movie.estimated_budget
200,how much did the studio spend to make avatar,movie.estimated_budget
201,how much money was budgeted for the avatar movie,movie.estimated_budget
202,i need to know the budget of the movie avatar,movie.estimated_budget
203,i want to know the avatar's budget,movie.estimated_budget
204,list the budget for avatar,movie.estimated_budget
205,show me what was the budget of the movie avatar,movie.estimated_budget
206,what did the movie avatar cost to make,movie.estimated_budget
207,what was avatar's budget,movie.estimated_budget
208,what was the budget for avatar,movie.estimated_budget
209,what was the budget for avatar,movie.estimated_budget
210,what was the budget for avatar,movie.estimated_budget
211,what was the budget for the movie avatar,movie.estimated_budget
212,what was the budget of the movie avatar,movie.estimated_budget
213,how much did the movie avatar cost,movie.estimated_budget
214,how much money was spent on batman,movie.estimated_budget
215,tell me the budget for the movie batman,movie.estimated_budget
216,how much did batman begins cost,movie.estimated_budget
217,how much was it to make the film batman begins,movie.estimated_budget
218,budget for the avengers,movie.estimated_budget
219,how much did it take to make the avengers,movie.estimated_budget
220,what was the budget for the avengers,movie.estimated_budget
221,what was the budget for citizen kane,movie.estimated_budget
222,find out the budget of cujo,movie.estimated_budget
223,budget for gone with the wind,movie.estimated_budget
224,gone with the wind's budget information please,movie.estimated_budget
225,gone with the wind's budget,movie.estimated_budget
226,show me the budget for the movie,movie.estimated_budget
227,budget for the hulk,movie.estimated_budget
228,budget request for my big fat greek wedding,movie.estimated_budget
229,find the budget of my big fat greek wedding,movie.estimated_budget
230,how much did my big fat greek wedding cost,movie.estimated_budget
231,what was the budget of my big fat greek wedding,movie.estimated_budget
232,what was the budget for old school,movie.estimated_budget
233,what was the bourne identity's budget,movie.estimated_budget
234,how much did it cost to produce the deer hunter,movie.estimated_budget
235,provide the cost for producing the deer hunter,movie.estimated_budget
236,will you show the cost to produce the deer hunter,movie.estimated_budget
237,what was the budget for the hobbit,movie.estimated_budget
238,can i see what the lion king's budget was,movie.estimated_budget
239,show me the lion king's budget,movie.estimated_budget
240,what was the budget for passion of the christ,movie.estimated_budget
241,what was the budget for top gun,movie.estimated_budget
242,what was top gun's budget,movie.estimated_budget
243,who does ellen degeneres play in finding nemo,movie.starring.actor movie.starring.character
244,what character did tom hanks play in apollo thirteen,movie.starring.actor movie.starring.character
245,lion king characters,movie.starring.character
246,what character did will smith play in hitch,movie.starring.actor movie.starring.character
247,what role did sarah polley play in go,movie.starring.actor movie.starring.character
248,what was kevin james role in hitch,movie.starring.actor movie.starring.character
249,who directed the music in gone with the wind,movie.music
250,show me the music composer for the movie,movie.music
251,who directed the musical score in barfi,movie.music
252,how many films did ed harris do with tom hanks,movie.starring.actor
253,how many movies were released on nine twenty eight twelve,movie.initial_release_date
254,how many movies were filmed in asia,movie.locations
255,how many films directed by barbra streisand have been shot in the czech republic,movie.locations movie.directed_by
256,how many movies has albert ruddy produced,movie.produced_by
257,how many movies has lionsgate done,movie.production_companies
258,how many movies did richard lester direct,movie.directed_by
259,how many films has taye diggs been in,movie.starring.actor
260,how many movies has ray stark produced,movie.produced_by
261,how many producers did the movie the hitch have,movie.produced_by
262,how many movies has charles vidor directed,movie.directed_by
263,how many movies has kristen stewart made,movie.starring.actor
264,i wonder how many movies alfred hitchcock was in that he directed,movie.starring.actor movie.directed_by
265,how many movies has steven spielberg directed,movie.directed_by
266,how many films did robert wise direct,movie.directed_by
267,how many movies has tom cruise starred in,movie.starring.actor
268,how many movies did scorsese direct,movie.directed_by
269,how many movies has angelina jolie been in,movie.starring.actor
270,how many movies did victor fleming direct,movie.directed_by
271,how many movies has woody allen directed,movie.directed_by
272,how many movies has darla anderson produced,movie.produced_by
273,how many films did alfred hitchcock direct,movie.directed_by
274,how many movies did hitchcock direct,movie.directed_by
275,how many movies has tom hanks starred in,movie.starring.actor
276,how many woody allen movies starred diane keaton,movie.starring.actor movie.directed_by
277,how many films has ed harris starred in,movie.starring.actor
278,how many movies are made in the united states,movie.country
279,where was footnote made,movie.country
280,what country did the flowers of war come from,movie.country
281,country of le havre,movie.country
282,what country does the movie kati patang comes from,movie.country
283,show me the name of the country for the movie thoda pyaar thoda magic,movie.country
284,can you tell me which country the movie kati patang comes from,movie.country
285,i need to know the name of the country to which the movie kati patang belongs to,movie.country
286,show me the name of the country from which the movie kati patang comes,movie.country
287,can you tell me which country does thoda pyaar thoda magic belongs to,movie.country
288,give me the name of the country for the movie thoda pyaar thoda magic,movie.country
289,i need to know which country does the movie thoda pyaar thoda magic belongs to,movie.country
290,country that made a separation,movie.country
291,what country is godzilla,movie.country
292,country of weekend,movie.country
293,i would like to search for what country cell 21 is from,movie.country
294,look for what country cell 21 is from,movie.country
295,what country is cell 21 from,movie.country
296,what country did black beauty come from,movie.country
297,i need to know where trainspotting comes from,movie.country
298,tell me where is trainspotting from,movie.country
299,which country made elizabeth,movie.country
300,where was trainspotting made,movie.country
301,what country did shindler's list come from,movie.country
302,which country is this movie from,movie.country
303,show me where black swan is from,movie.country
304,where was black swan produced,movie.country
305,what is the origin of casa blanca,movie.country
306,origin of gone with the wind,movie.country
307,lion king filmed at,movie.country
308,where was rocky four filmed,movie.country
309,origin of spanglish,movie.country
310,movie made where,movie.country
311,what country is movie from,movie.country
312,in what country was movie made,movie.country
313,where was movie made,movie.country
314,is this a foreign film,movie.country
315,is this a foreign film,movie.country
316,what country was kinky boots made in,movie.country
317,what country is outside the law from,movie.country
318,what country produced the movie mirror,movie.country
319,what country does mirror come from,movie.country
320,what country does les miserable come from,movie.country
321,what is the origin country of mirror,movie.country
322,in what country was the movie mirror produced,movie.country
323,where was the movie mirror produced,movie.country
324,when can i see top gun,movie.initial_release_date
325,when was top gun released,movie.initial_release_date
326,when does top gun come out,movie.initial_release_date
327,when the movie top gun was released,movie.initial_release_date
328,when did richard lester start directing,movie.directed_by movie.initial_release_date
329,when was in july released,movie.initial_release_date
330,give me the release date for the little mermaid,movie.initial_release_date
331,what date was spider released,movie.initial_release_date
332,can you tell me when 24 will be released,movie.initial_release_date
333,do you know when 24 will be released,movie.initial_release_date
334,i want to know when 24 will be released,movie.initial_release_date
335,when will 24 be released,movie.initial_release_date
336,how will i know when the movie gone with the wind will be released,movie.initial_release_date
337,please tell me when was the movie gone with the wind released,movie.initial_release_date
338,please tell me when will the movie gone with the wind will be released,movie.initial_release_date
339,when will the movie gone with the wind be released,movie.initial_release_date
340,do you know when this movie is available,movie.initial_release_date
341,what year was the movie released,movie.initial_release_date
342,which decade did the movie come out,movie.initial_release_date
343,which month was the movie released,movie.initial_release_date
344,release day for the movie,movie.initial_release_date
345,may i have the date of release for this movie,movie.initial_release_date
346,release date for the vow,movie.initial_release_date
347,when was black beauty released,movie.initial_release_date
348,titanic release date,movie.initial_release_date
349,when did lionsgate start making movies,movie.production_companies movie.initial_release_date
350,search when the birds will be released,movie.initial_release_date
351,what year did spielberg start directing movies,movie.directed_by movie.initial_release_date
352,the godfather came out when,movie.initial_release_date
353,when can i see the great gatsby,movie.initial_release_date
354,when will the great gatsby be out,movie.initial_release_date
355,when will the great gatsby be released,movie.initial_release_date
356,when will jaws be released,movie.initial_release_date
357,when will the hobbit be released,movie.initial_release_date
358,what year was the hobbit relased,movie.initial_release_date
359,what year did the movie grease open,movie.initial_release_date
360,movie little women release date is when,movie.initial_release_date
361,release date for little women,movie.initial_release_date
362,when was the movie title little women released,movie.initial_release_date
363,can you please tell me when was karate kid released,movie.initial_release_date
364,karate kid release date,movie.initial_release_date
365,find release date for karate kid,movie.initial_release_date
366,when did dirty dancing come out,movie.initial_release_date
367,when was dirty dancing released,movie.initial_release_date
368,what year was dirty dancing released,movie.initial_release_date
369,when was dirty dancing released,movie.initial_release_date
370,when was overboard released,movie.initial_release_date
371,what year did moon over parador come out,movie.initial_release_date
372,release date for batman,movie.initial_release_date
373,when did jurassic park get released,movie.initial_release_date
374,lion king release yr,movie.initial_release_date
375,when was while you were sleeping released,movie.initial_release_date
376,what year was ed harris in in apollo thirteen,movie.starring.actor movie.initial_release_date
377,what was the date when welcome to the dollhouse was released,movie.initial_release_date
378,release date for toy story,movie.initial_release_date
379,what was the relase date for men in black,movie.initial_release_date
380,when was life is beautiful released,movie.initial_release_date
381,when was life is beautiful released,movie.initial_release_date
382,when life is beautiful was released,movie.initial_release_date
383,what is possessed realese date,movie.initial_release_date
384,look up the release date of resident evil,movie.initial_release_date
385,what is resident evil's release date,movie.initial_release_date
386,when did resident evil come out,movie.initial_release_date
387,when did resident evil debut in theaters,movie.initial_release_date
388,when did theaters show resident evil,movie.initial_release_date
389,when was the release date for the movie resident evil,movie.initial_release_date
390,when was resident evil first in theatres,movie.initial_release_date
391,when was the scooby do movie released,movie.initial_release_date
392,when was finding nemo released,movie.initial_release_date
393,release date for finding nemo,movie.initial_release_date
394,when was finding nemo released,movie.initial_release_date
395,when was finding nemo released,movie.initial_release_date
396,in which date varsham movie released,movie.initial_release_date
397,in which month varsham movie released,movie.initial_release_date
398,release twilight,movie.initial_release_date
399,frankenstein release,movie.initial_release_date
400,frankenstein release date,movie.initial_release_date
401,when will the movie frankenstein be released,movie.initial_release_date
402,when was hum tum relesed,movie.initial_release_date
403,i want to know when step up was released,movie.initial_release_date
404,i would like to know when the movie step up was released,movie.initial_release_date
405,when was step up released,movie.initial_release_date
406,when was the movie step up released,movie.initial_release_date
407,when did happiness get released,movie.initial_release_date
408,when will paranormal activity be released,movie.initial_release_date
409,avatar realease date,movie.initial_release_date
410,avatar release,movie.initial_release_date
411,what was the release date for avatar,movie.initial_release_date
412,when did the movie avatar get released,movie.initial_release_date
413,when avatar released,movie.initial_release_date
414,when was avatar released,movie.initial_release_date
415,i need to know when was the movie avatar released,movie.initial_release_date
416,what day avatar released,movie.initial_release_date
417,what was the release date of the movie avatar,movie.initial_release_date
418,when was avatar released,movie.initial_release_date
419,what date was avatar released,movie.initial_release_date
420,when was black swan in the theatre,movie.initial_release_date
421,when was black swan released,movie.initial_release_date
422,how long has black swan been out,movie.initial_release_date
423,find release date of the help,movie.initial_release_date
424,when can the help be released,movie.initial_release_date
425,tell me when compliance came out,movie.initial_release_date
426,when is sinister hitting theaters,movie.initial_release_date
427,release date for the hunger games,movie.initial_release_date
428,when was the first hunger games shown,movie.initial_release_date
429,when was avengers released,movie.initial_release_date
430,when was lawless released,movie.initial_release_date
431,release date of snow white and the huntsman,movie.initial_release_date
432,release date for amazing spiderman,movie.initial_release_date
433,when will the next amazing spiderman come out,movie.initial_release_date
434,when was the amazing spiderman released in the movie theatres,movie.initial_release_date
435,search for the release date of vulgaria,movie.initial_release_date
436,when did vulgaria come out,movie.initial_release_date
437,when was the movie vulgaria released,movie.initial_release_date
438,what date did vulgaria open,movie.initial_release_date
439,when did dredd come out,movie.initial_release_date
440,what year was the godfather released,movie.initial_release_date
441,release date for the watch,movie.initial_release_date
442,when was paranorman be released,movie.initial_release_date
443,what year was the campaign released,movie.initial_release_date
444,when was the campaign released,movie.initial_release_date
445,when was expendables 2 released,movie.initial_release_date
446,when is the release date of resident evil: retribution,movie.initial_release_date
447,what is the calendar date release for looper,movie.initial_release_date
448,i would like to know the release date of the movie barfi,movie.initial_release_date
449,i need to know the release date of the movie barfi,movie.initial_release_date
450,what is the release date of the movie barfi,movie.initial_release_date
451,show me the release date of the movie barfi,movie.initial_release_date
452,find the release date for heroine,movie.initial_release_date
453,please find the release date of heroine,movie.initial_release_date
454,what is the release date of heroine,movie.initial_release_date
455,when was herione released,movie.initial_release_date
456,when was the movie heroine released,movie.initial_release_date
457,when was house at the end of the street released,movie.initial_release_date
458,when house at the end of the street showing,movie.initial_release_date
459,what is the release date for house at the end of the street,movie.initial_release_date
460,is iron man 3 in theatres yet,movie.initial_release_date
461,when is iron man 3 coming out,movie.initial_release_date
462,when will iron man 3 be out in movie theatres,movie.initial_release_date
463,show me movies listed by directors,movie.directed_by
464,director for gone with the wind,movie.directed_by
465,show me the directors of gone with the wind,movie.directed_by
466,who are the directors of gone with the wind,movie.directed_by
467,who directed gone with the wind,movie.directed_by
468,who directed gone with the wind,movie.directed_by
469,who directed gone with the wind,movie.directed_by
470,who directed the movie,movie.directed_by
471,show me details about the directors of gone with the wind,movie.directed_by
472,who directed black swan,movie.directed_by
473,who's the director of pi,movie.directed_by
474,who made batman the dark knight,movie.directed_by
475,tell me about inception's director,movie.directed_by
476,show me the director of the film the dark knight,movie.directed_by
477,tell me the director of the film the dark knight,movie.directed_by
478,who directed the movie the dark knight,movie.directed_by
479,who filmed the dark knight,movie.directed_by
480,who is the person that directed the film the dark knight,movie.directed_by
481,which director directed a hard day's night,movie.directed_by
482,who directed a hard day's night,movie.directed_by
483,who directed a hard day's night,movie.directed_by
484,who directed hard days night,movie.directed_by
485,who directed cast away,movie.directed_by
486,show me the director of forest gump,movie.directed_by
487,who was the director of forest gump,movie.directed_by
488,who is director of sleepless in seattle,movie.directed_by
489,who directed the movie opening night,movie.directed_by
490,who directed the movie men in black 3,movie.directed_by
491,who was the director in men in black 3,movie.directed_by
492,can you tell me the director of the titanic,movie.directed_by
493,director for titanic,movie.directed_by
494,who was the director of the movie titanic,movie.directed_by
495,display director of the movie avengers,movie.directed_by
496,director of the avengers,movie.directed_by
497,search director of the exorcist,movie.directed_by
498,find the director for the social network,movie.directed_by
499,find the director of big,movie.directed_by
500,who is the director of ghost busters,movie.directed_by
501,find the director for pretty woman,movie.directed_by
502,who made godzilla,movie.directed_by movie.produced_by
503,rocky director,movie.directed_by
504,who directed hope floats,movie.directed_by
505,avatar was directed by whom,movie.directed_by
506,director of avatar,movie.directed_by
507,which director directed avatar,movie.directed_by
508,who did avatar,movie.directed_by
509,who directed avatar,movie.directed_by
510,who directed avatar,movie.directed_by
511,who directed avatar,movie.directed_by
512,who directed the film avatar,movie.directed_by
513,who directed the movie called avatar,movie.directed_by
514,who made the movie avatar,movie.directed_by
515,who was the director of the movie avatar,movie.directed_by
516,who directed star wars four,movie.directed_by
517,who directed the movie in july,movie.directed_by
518,who made steel magnolias,movie.directed_by
519,the silence of the lambs director,movie.directed_by
520,director of the incredibles,movie.directed_by
521,gilda director,movie.directed_by
522,list gilda director,movie.directed_by
523,search director for gilda,movie.directed_by
524,search gilda director,movie.directed_by
525,the movie gilda director,movie.directed_by
526,who directed gilda,movie.directed_by
527,who directed gilda,movie.directed_by
528,who directed gilda,movie.directed_by
529,who directed the movie gilda,movie.directed_by
530,goodfellas director,movie.directed_by
531,who made field of dreams,movie.directed_by
532,who made the movie field of dreams,movie.directed_by
533,who made the movie field of dreams possible,movie.directed_by
534,can i please see more details for the director of finding nemo,movie.directed_by
535,find the director for finding nemo,movie.directed_by
536,i want to know the director of finding nemo,movie.directed_by
537,i want to know who directed finding nemo,movie.directed_by
538,show me finding nemo director,movie.directed_by
539,who directed finding nemo,movie.directed_by
540,who directed finding nemo,movie.directed_by
541,who directed finding nemo,movie.directed_by
542,who directed finding nemo,movie.directed_by
543,who directed finding nemo,movie.directed_by
544,who directed finding nemo,movie.directed_by
545,who was the director of the film finding nemo,movie.directed_by
546,who directed hitch,movie.directed_by
547,who made hitch,movie.directed_by
548,director for anne of green gables,movie.directed_by
549,search director of the movie platoon,movie.directed_by
550,who was the director of movie varsham,movie.directed_by
551,who directed grizzly man,movie.directed_by
552,who directed to kill a mockingbird,movie.directed_by
553,who was the director of the movie e t,movie.directed_by
554,find the director for et,movie.directed_by
555,who made et,movie.directed_by
556,who was the director of the movie jaws,movie.directed_by
557,look up info about jurassic park's director,movie.directed_by
558,who directed jurassic park,movie.directed_by
559,who directed jurassic park,movie.directed_by
560,who directed jurassic park,movie.directed_by
561,old man director,movie.directed_by
562,can you find out who directed the movie batman,movie.directed_by
563,can you tell me who is the director of batman,movie.directed_by
564,who directed batman,movie.directed_by
565,who is the director of batman,movie.directed_by
566,looper directors,movie.directed_by
567,who directed the perfect storm,movie.directed_by
568,who directed dirty dancing,movie.directed_by
569,director for pride and prejudice,movie.directed_by
570,who directed the movie the thing called love,movie.directed_by
571,director of twilight,movie.directed_by
572,twilight was directed by whom,movie.directed_by
573,who else directs zombie movies,movie.directed_by movie.subjects
574,director of hum tum,movie.directed_by
575,director of the movie hum tum,movie.directed_by
576,find the director of hum tum,movie.directed_by
577,look for the director of hum tum,movie.directed_by
578,director of the cabin in the woods,movie.directed_by
579,i am interested in who directed cabin in the woods,movie.directed_by
580,show me who directed cabin in the woods,movie.directed_by
581,who directed the movie cabin in the woods,movie.directed_by
582,who directed soul surfer,movie.directed_by
583,who directed the sandlot,movie.directed_by
584,which director made a comedy,movie.directed_by movie.genre
585,director of halloween,movie.directed_by
586,find the director of step up,movie.directed_by
587,search for the director of step up,movie.directed_by
588,search for the director of step up,movie.directed_by
589,i need to know who directed black swan,movie.directed_by
590,i want to look for the director of freedom writers,movie.directed_by
591,i would like to look for the director of freedom writers,movie.directed_by
592,who directed the movie titanic,movie.directed_by
593,who was the director of the movie the mechanic,movie.directed_by
594,find the director of mask,movie.directed_by
595,director of the hulk,movie.directed_by
596,did robert wise direct the sound of music,movie.directed_by
597,was robert wise the only director of the sound of music,movie.directed_by
598,who directed the sound of music,movie.directed_by
599,who directed the sound of music,movie.directed_by
600,who directed the sound of music,movie.directed_by
601,what director shot the 1st lord of the rings film,movie.directed_by
602,who directed return,movie.directed_by
603,who is the director of return,movie.directed_by
604,search for the name of the director of return,movie.directed_by
605,what was the name of the director in men in black 3,movie.directed_by
606,what is the name of the director of the movie avengers,movie.directed_by
607,find the name of the director of chips,movie.directed_by
608,name of director for house at the end of the street,movie.directed_by
609,name the director of sleepless in seattle,movie.directed_by
610,find name of director of the movie platoon,movie.directed_by
611,get me the name of who directed the master,movie.directed_by
612,what is the director's name of lord of the rings,movie.directed_by
613,what is the name of the person who made et,movie.directed_by
614,rocky director's name,movie.directed_by
615,what type of movie is gilda,movie.genre
616,what types of movies does lionsgate produce,movie.production_companies movie.genre
617,what kind of movie is black swan,movie.genre
618,what genre is the hunger games,movie.genre
619,genre for transformers,movie.genre
620,what genre is looper,movie.genre
621,what genre is the movie looper,movie.genre
622,what genre is rambo,movie.genre
623,what genre is the jaws movies,movie.genre
624,can you tell me the genre for 1000 words,movie.genre
625,i am interested in the genre for 1000 words,movie.genre
626,what type of movie is parenthood,movie.genre
627,give me the genre of the movie lawless,movie.genre
628,what genre is the movie lawless,movie.genre
629,what is the genre of the movie lawless,movie.genre
630,what genre is the movie in july,movie.genre
